year,site ,load,value
2021,dorn,totalQ,80.3843376
2022,dorn,totalQ,71.4125616
2023,dorn,totalQ,92.9414256
2013,dorn,totalNO3,25.06481353
2014,dorn,totalNO3,19.70432224
2015,dorn,totalNO3,17.45040999
2016,dorn,totalNO3,28.54742033
2017,dorn,totalNO3,45.26471679
2018,dorn,totalNO3,89.58024695
2019,dorn,totalNO3,101.0875131
2020,dorn,totalNO3,108.0506039
2021,dorn,totalNO3,53.98874244
2022,dorn,totalNO3,36.7067058
2023,dorn,totalNO3,51.66607925
2013,dorn,totalNH4,5.539192929
2014,dorn,totalNH4,4.564977104
2015,dorn,totalNH4,0.793327872
2016,dorn,totalNH4,1.245037465
2017,dorn,totalNH4,2.707472504
2018,dorn,totalNH4,5.89657353
2019,dorn,totalNH4,7.642068121
2020,dorn,totalNH4,1.162864739
2021,dorn,totalNH4,0.564037116
2022,dorn,totalNH4,0.846792761
2023,dorn,totalNH4,0.600052321
2013,dorn,totalKjN,0.141216797
2014,dorn,totalKjN,0.160081689
2015,dorn,totalKjN,0.112295771
2016,dorn,totalKjN,0.114082924
2017,dorn,totalKjN,0.126016929
2018,dorn,totalKjN,0.14436019
2019,dorn,totalKjN,0.121268728
2020,dorn,totalKjN,0.089439271
2021,dorn,totalKjN,0.0855157
2022,dorn,totalKjN,0.129096819
2023,dorn,totalKjN,0.093276659
2013,dorn,totalTN,25.20603033
2014,dorn,totalTN,19.86440393
2015,dorn,totalTN,17.56270576
2016,dorn,totalTN,28.66150326
2017,dorn,totalTN,45.39073372
2018,dorn,totalTN,89.72460714
2019,dorn,totalTN,101.2087818
2020,dorn,totalTN,108.1400432
2021,dorn,totalTN,54.07425814
2022,dorn,totalTN,36.83580262
2023,dorn,totalTN,51.7593559
